region,price
3,11509455.826519672
69,2088702.0779220778
81,4753617.768349156
821,2515225.422160445
1010,2339770.3607856934
1491,2715415.227815257
1901,2716666.6666666665
2072,2789953.135038347
2328,3307638.616327531
2359,2342777.492351428
2484,4275988.979354839
2528,2200173.4609273095
2594,2481035.732201987
2604,2551215.839753202
2661,7834745.782122905
2722,2912407.8192355204
2806,2520591.8590697674
2814,2513350.2341941227
2843,3525498.0451346766
2860,2095640.7289563394
2871,3575443.471173651
2880,2645343.8037197543
2885,2742197.8945439737
2900,2537859.961207335
2922,3622684.476858887
3019,2336174.0344601423
3106,2821220.571343127
3153,2329841.3049174445
3230,2767364.901670009
3446,3852526.850425165
3870,3141418.4525914285
3991,3767085.373233964
4007,2897194.609063832
4086,3980539.921613049
4189,2708195.9214106696
4240,2558069.4321963396
4249,2340007.104385647
4374,2484351.0364937386
4417,2322411.6363119716
4695,2814822.210793481
4963,2388952.107692308
4982,1984550.454943365
5143,3060411.7307310617
5178,3540058.045760431
5241,2118934.177789252
5282,2033271.535554169
5368,2702074.0569752376
5520,2720052.3301774156
5703,1753250.938741722
5736,2171159.140625
5789,2388263.164225716
5794,2304799.08827199
5952,3305880.7989129303
5993,2774717.8556239507
6171,3398955.5712809353
6309,2302656.8659127625
6543,3790300.7576292558
6817,2209491.2161881234
6937,5150318.648412529
7121,2735978.31303931
7793,1961945.5747365681
7873,5595441.6273984825
7896,4811189.671564017
7929,4622554.316251154
8090,2364722.0876990003
8509,2011166.8781014024
8640,2872417.425345044
8894,2260797.6572598997
9579,2431750.599466382
9648,2353298.0004353505
9654,2701371.279693136
10160,2757555.3116583857
10201,3313921.813605977
10582,2936704.222533632
11171,3222635.169420404
11416,1889146.6825124093
11991,2406140.7738488135
13098,3195527.33984375
13913,2428282.461645746
13919,2569850.2066316213
14368,2283813.510961214
14880,3952884.8483146066
16705,2939970.4172661873
61888,3820000.0
